GeneID_NCBI;Symbol_HGNC;Aliases;GenePanels_Symbol;GenePanel;Column1;;Symbol_HGNC;GenePanels_Symbol;
26090;ABHD12;ABHD12A|BEM46L2|C20orf22|PHARC|dJ965G21.2|hABHD12;ABHD12;"BEWEGING (AR);BLIND (AR);DOOF (AR);HMSN (AR);METAB (AR);OMIM (AR);PCS (AR)";;;ABHD12;ABHD12;
51099;ABHD5;CGI58|IECN2|NCIE2;ABHD5;"DERM (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)";;;ABHD5;ABHD5;
25;ABL1;ABL|BCR-ABL|CHDSKM|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl;ABL1;"ANEURYSM (AD);HART (AD);OMIM (AD;UK,AR,AD,XL)";;;ABL1;ABL1;
31;ACACA;ACAC|ACACAD|ACC|ACC1|ACCA;ACACA;"METAB (AR);OMIM (AR);PCS (AR)";;;ACACA;ACACA;
27034;ACAD8;ACAD-8|ARC42|IBDH;ACAD8;"HART (AR);METAB (AR);OMIM (AR;UK,AR,AD,XL);PCS (AR)";;;ACAD8;ACAD8;
28976;ACAD9;MC1DN20|NPD002;ACAD9;"HART (AR);METAB (AR);MR (AR);OMIM (AR);OXPHOS (AR);PCS (AR)";;;ACAD9;ACAD9;
34;ACADM;ACAD1|MCAD|MCADH;ACADM;"METAB (AR);OMIM (AR);PCS (AR)";;;ACADM;ACADM;
35;ACADS;ACAD3|SCAD;ACADS;"METAB (AR);MR (AR);OMIM (AR);PCS (AR)";;;ACADS;ACADS;
36;ACADSB;2-MEBCAD|ACAD7|SBCAD;ACADSB;"METAB (AR);OMIM (AR);PCS (AR)";;;ACADSB;ACADSB;
37;ACADVL;ACAD6|LCACD|VLCAD;ACADVL;"HART (AR);METAB (AR);OMIM (AR);PCS (AR);SPIER (AR)";;;ACADVL;ACADVL;
176;ACAN;AGC1|AGCAN|CSPG1|CSPGCP|MSK16|SEDK|SSOAOD;ACAN;"LENGTE (AD,AR);OMIM (AD,AR);PCS (AR)";;;ACAN;ACAN;
38;ACAT1;ACAT|MAT|T2|THIL;ACAT1;"METAB (AR);MR (AR);OMIM (AR);PCS (AR)";;;ACAT1;ACAT1;
39;ACAT2;;ACAT2;"METAB (AR);OMIM (AR)";;;ACAT2;ACAT2;
91452;ACBD5;RDLKD;ACBD5;"BLIND (AR);BMF (AD);HEMOS (AD);METAB (AR);OMIM (AD;AR)";;;ACBD5;ACBD5;
65057;ACD;PIP1|PTOP|TINT1|TPP1;ACD;"BMF (AD,AR);DERM (AD);DKC (AD,AR);IMMUUN (AD,AR);MELANOOM (AD,AR);OMIM (AR;AD,AR);PCS (AR);TUMOR (AD,AR)";;;ACD;ACD;
1636;ACE;ACE1|CD143|DCP|DCP1;ACE;"ANEURYSM (AD);NIER (AR);OMIM (AR;AD);PCS (AR)";;;ACE;ACE;
55331;ACER3;APHC|PHCA|PLDECO;ACER3;"OMIM (AR);PCS (AR)";;;ACER3;ACER3;
50;ACO2;ACONM|HEL-S-284|ICRD|OCA8|OPA9;ACO2;"BLIND (AR);METAB (AR);MR (AR);OMIM (AR);OXPHOS (AR);PCS (AR)";;;ACO2;ACO2;
51;ACOX1;ACOX|MITCH|PALMCOX|SCOX;ACOX1;"METAB (AR);MR (AR);OMIM (AR);PCS (AR)";;;ACOX1;ACOX1;
8309;ACOX2;BCOX|BRCACOX|BRCOX|CBAS6|THCCox;ACOX2;"LEVER (AR);METAB (AR);OMIM (AR);PCS (AR)";;;ACOX2;ACOX2;
93650;ACP4;ACPT|AI1J;ACP4;"CFA (AR);OMIM (AR)";;;ACP4;ACP4;
54;ACP5;HPAP|TRACP5a|TRACP5b|TRAP|TrATPase;ACP5;"IMMUUN (AD,AR);LENGTE (AR);OMIM (AD,AR);PCS (AR)";;;ACP5;ACP5;
197322;ACSF3;;ACSF3;"HART (AR);METAB (AR);MR (AR);OMIM (AR;UK,AR,AD,XL);PCS (AR)";;;ACSF3;ACSF3;
2182;ACSL4;ACS4|FACL4|LACS4|MRX63|MRX68;ACSL4;"METAB (XL);MR (XL);OMIM (XL)";;;ACSL4;ACSL4;
23305;ACSL6;ACS2|FACL6|LACS 6|LACS2|LACS5;ACSL6;OMIM (UK,AR,AD,XL);;;ACSL6;ACSL6;
58;ACTA1;ACTA|ASMA|CFTD|CFTD1|CFTDM|MPFD|NEM1|NEM2|NEM3|SHPM;ACTA1;"AKI (AD,AR);OMIM (AD;AD,AR);OXPHOS (AD);PCS (AR);SPIER (AD)";;;ACTA1;ACTA1;
59;ACTA2;ACTSA;ACTA2;"ANEURYSM (AD);DERM (AD);HART (AD);LEVER (AD);OMIM (AD)";;;ACTA2;ACTA2;
60;ACTB;BRWS1|PS1TP5BP1;ACTB;"BEWEGING (AD);DERM (AD);DOOF (AD);EPI (AD);HEMOS (AD);IMMUUN (AD);LENGTE (AD);MR (AD);OMIM (AD);SCHISIS (AD)";;;ACTB;ACTB;
70;ACTC1;ACTC|ASD5|CMD1R|CMH11|LVNC4;ACTC1;"CHD (AD);HART (AD);OMIM (AD)";;;ACTC1;ACTC1;
71;ACTG1;ACT|ACTG|DFNA20|DFNA26|HEL-176;ACTG1;"DOOF (AD);MR (AD);OMIM (AD);SCHISIS (AD)";;;ACTG1;ACTG1;
72;ACTG2;ACT|ACTA3|ACTE|ACTL3|ACTSG|VSCM;ACTG2;"LEVER (AD);OMIM (AD)";;;ACTG2;ACTG2;
86;ACTL6A;ACTL6|ARPN-BETA|Arp4|BAF53A|INO80K;ACTL6A;"MR (AD);OMIM (AD)";;;ACTL6A;ACTL6A;
51412;ACTL6B;ACTL6|BAF53B|DEE76|EIEE76|IDDSSAD|arpNalpha;ACTL6B;"EPI (AD);MR (AD,AR);OMIM (AD;AR;AD,AR);PCS (AR)";;;ACTL6B;ACTL6B;
87;ACTN1;BDPLT15;ACTN1;"HEMOS (AD);OMIM (AD)";;;ACTN1;ACTN1;
88;ACTN2;CMD1AA|CMH23|MPD6|MYOCOZ;ACTN2;"HART (AD);OMIM (AD)";;;ACTN2;ACTN2;
81;ACTN4;ACTININ-4|FSGS|FSGS1;ACTN4;"NIER (AD);OMIM (AD)";;;ACTN4;ACTN4;
90;ACVR1;ACTRI|ACVR1A|ACVRLK2|ALK2|FOP|SKR1|TSRI;ACVR1;"IJZER (UK,AR,AD,XL);LENGTE (AD);MR (AD);OMIM (AD;UK,AR,AD,XL);SPIER (AD)";;;ACVR1;ACVR1;
91;ACVR1B;ACTRIB|ACVRLK4|ALK4|SKR2;ACVR1B;OMIM (UK,AR,AD,XL);;;ACVR1B;ACVR1B;
93;ACVR2B;ACTRIIB|ActR-IIB|HTX4;ACVR2B;"CHD (AD);CILIO (AD);HART (AD);OMIM (AD;UK,AR,AD,XL)";;;ACVR2B;ACVR2B;
94;ACVRL1;ACVRLK1|ALK-1|ALK1|HHT|HHT2|ORW2|SKR3|TSR-I;ACVRL1;"ANEURYSM (AD);DERM (AD);HEMOS (AD);OMIM (AD)";;;ACVRL1;ACVRL1;
95;ACY1;ACY-1|ACY1D|HEL-S-5;ACY1;"EPI (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)";;;ACY1;ACY1;
100;ADA;ADA1;ADA;"IMMUUN (AR);METAB (AR);OMIM (AR;UK,AR,AD,XL);PCS (AR);SCID (AR)";;;ADA;ADA;
51816;ADA2;ADGF|CECR1|IDGFL|PAN|SNEDS|VAIHS;ADA2;"ANEURYSM (AD);DERM (AR);IMMUUN (AR);OMIM (AR;AD);PCS (AR)";;;ADA2;ADA2;
102;ADAM10;AD10|AD18|CD156c|CDw156|HsT18717|MADM|RAK|kuz;ADAM10;"DERM (AD);OMIM (AD)";;;ADAM10;ADAM10;
6868;ADAM17;ADAM18|CD156B|CSVP|NISBD|NISBD1|TACE;ADAM17;"DERM (AR);IMMUUN (AR);OMIM (AR);PCS (AR)";;;ADAM17;ADAM17;
53616;ADAM22;ADAM 22|DEE61|EIEE61|MDC2;ADAM22;"MR (AR);OMIM (AR);PCS (AR)";;;ADAM22;ADAM22;
8754;ADAM9;CORD9|MCMP|MDC9|Mltng;ADAM9;"BLIND (AR);OMIM (AR);PCS (AR)";;;ADAM9;ADAM9;
81794;ADAMTS10;ADAM-TS10|ADAMTS-10|WMS|WMS1;ADAMTS10;"DERM (AR);LENGTE (AR);OMIM (AR);OXPHOS (AR);PCS (AR)";;;ADAMTS10;ADAMTS10;
11093;ADAMTS13;ADAM-TS13|ADAMTS-13|C9orf8|VWFCP|vWF-CP;ADAMTS13;"HEMOS (AR);NIER (AR);OMIM (AR);PCS (AR)";;;ADAMTS13;ADAMTS13;
170691;ADAMTS17;WMS4;ADAMTS17;"DERM (AR);LENGTE (AR);OMIM (AR);PCS (AR)";;;ADAMTS17;ADAMTS17;
170692;ADAMTS18;ADAMTS21|KNO2|MMCAT;ADAMTS18;"BLIND (AR);OMIM (AR);PCS (AR)";;;ADAMTS18;ADAMTS18;
171019;ADAMTS19;;ADAMTS19;"HART (AR);OMIM (AR)";;;ADAMTS19;ADAMTS19;
9509;ADAMTS2;ADAM-TS2|ADAMTS-2|ADAMTS-3|EDSDERMS|NPI|PC I-NP|PCI-NP|PCINP|PCPNI|PNPI;ADAMTS2;"DERM (AR);OMIM (AR);PCS (AR)";;;ADAMTS2;ADAMTS2;
9508;ADAMTS3;ADAMTS-4|HKLLS3;ADAMTS3;"DERM (AR);OMIM (AR);PCS (AR)";;;ADAMTS3;ADAMTS3;
56999;ADAMTS9;;ADAMTS9;"CILIO (AR);NIER (AR);OMIM (AR)";;;ADAMTS9;ADAMTS9;
9719;ADAMTSL2;ADAMTSL-2|GPHYSD1;ADAMTSL2;"DERM (AR);LENGTE (AR);OMIM (AR);PCS (AR)";;;ADAMTSL2;ADAMTSL2;
54507;ADAMTSL4;ADAMTSL-4|ECTOL2|TSRC1;ADAMTSL4;"ANEURYSM (AR);BLIND (AR);CFA (AR);OMIM (AR);PCS (AR)";;;ADAMTSL4;ADAMTSL4;
