GeneID_NCBI;Symbol_HGNC;Aliases;GenePanels_Symbol;GenePanel;Column1;;Symbol_HGNC;GenePanels_Symbol;
84277;DNAJC30;WBSCR18;DNAJC30;"BLIND (AR);OMIM (AR);OXPHOS (AR)";;;DNAJC30;DNAJC30;
80331;DNAJC5;CLN4|CLN4B|CSP|DNAJC5A|NCL|mir-941-2|mir-941-3|mir-941-4|mir-941-5;DNAJC5;"EPI (AD);OMIM (AD)";;;DNAJC5;DNAJC5;
9829;DNAJC6;DJC6|PARK19;DNAJC6;"OMIM (AR);PARK (AR);PCS (AR)";;;DNAJC6;DNAJC6;
83544;DNAL1;C14orf168|CILD16|LC1;DNAL1;"CILIO (AR);OMIM (AR);PCS (AR)";;;DNAL1;DNAL1;
10126;DNAL4;MRMV3|PIG27;DNAL4;"BEWEGING (AR);OMIM (AR)";;;DNAL4;DNAL4;
1773;DNASE1;DNL1|DRNI;DNASE1;"HEMOS (AD);IMMUUN (AD);OMIM (AD)";;;DNASE1;DNASE1;
1776;DNASE1L3;DHP2|DNAS1L3|LSD|SLEB16;DNASE1L3;"IMMUUN (AR);OMIM (AR);PCS (AR)";;;DNASE1L3;DNASE1L3;
1777;DNASE2;DNASE2A|DNL|DNL2;DNASE2;"IMMUUN (AR);OMIM (AR)";;;DNASE2;DNASE2;
1759;DNM1;DEE31|DNM|EIEE31;DNM1;"EPI (AD);MR (AD);OMIM (AD)";;;DNM1;DNM1;
10059;DNM1L;DLP1|DRP1|DVLP|DYMPLE|EMPF|EMPF1|HDYNIV|OPA5;DNM1L;"BEWEGING (AD,AR);BLIND (AD);EPI (AD,AR);HMSN (AD);HNPD (AD,AR);METAB (AR);OMIM (AD,AR);OXPHOS (AR);PCS (AR)";;;DNM1L;DNM1L;
1785;DNM2;CMT2M|CMTDI1|CMTDIB|DI-CMTB|DYN2|DYNII|LCCS5;DNM2;"AKI (AR);HMSN (AD);METAB (AD);OMIM (AD;AD,AR);PCS (AR);SPIER (AD)";;;DNM2;DNM2;
23268;DNMBP;ARHGEF36|CTRCT48|TUBA;DNMBP;"BLIND (AR);OMIM (AR);PCS (AR)";;;DNMBP;DNMBP;
1786;DNMT1;ADCADN|AIM|CXXC9|DNMT|HSN1E|MCMT|m.HsaI;DNMT1;"BEWEGING (AD);HMSN (AD);HNPD (AD);METAB (AR);OMIM (AD;AR)";;;DNMT1;DNMT1;
1788;DNMT3A;DNMT3A2|HESJAS|M.HsaIIIA|TBRS;DNMT3A;"LENGTE (AD);MR (AD);OMIM (AD)";;;DNMT3A;DNMT3A;
1789;DNMT3B;ICF|ICF1|M.HsaIIIB;DNMT3B;"IMMUUN (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)";;;DNMT3B;DNMT3B;
1794;DOCK2;IMD40;DOCK2;"IMMUUN (AR);OMIM (AR);PCS (AR);SCID (AR)";;;DOCK2;DOCK2;
1795;DOCK3;MOCA|NEDIDHA|PBP;DOCK3;"MR (AR);OMIM (AR);PCS (AR)";;;DOCK3;DOCK3;
57572;DOCK6;AOS2|ZIR1;DOCK6;"DERM (AR);LENGTE (AR);MR (AR);OMIM (AR);PCS (AR);SCHISIS (AR)";;;DOCK6;DOCK6;
85440;DOCK7;DEE23|EIEE23|ZIR2;DOCK7;"EPI (AR);MR (AR);OMIM (AR);PCS (AR)";;;DOCK7;DOCK7;
81704;DOCK8;HEL-205|MRD2|ZIR8;DOCK8;"DERM (AR);IMMUUN (AR);OMIM (AR);PCS (AR);SCID (AR)";;;DOCK8;DOCK8;
285489;DOK7;C4orf25|CMS10|CMS1B|FADS3;DOK7;"AKI (AR);OMIM (AR);PCS (AR);SPIER (AR)";;;DOK7;DOK7;
22845;DOLK;CDG1M|DK|DK1|SEC59|TMEM15;DOLK;"DERM (AR);HART (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)";;;DOLK;DOLK;
29980;DONSON;B17|C21orf60|MIMIS|MISSLA;DONSON;"LENGTE (AR);MR (AR);OMIM (AR);PCS (AR)";;;DONSON;DONSON;
84444;DOT1L;DOT1|KMT4;DOT1L;"MELANOOM (AD);OMIM (AD)";;;DOT1L;DOT1L;
1798;DPAGT1;ALG7|CDG-Ij|CDG1J|CMS13|CMSTA2|D11S366|DGPT|DPAGT|DPAGT2|G1PT|GPT|UAGT|UGAT;DPAGT1;"EPI (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR);SPIER (AR)";;;DPAGT1;DPAGT1;
25911;DPCD;;DPCD;"LENGTE (AD);OMIM (AD)";;;DPCD;DPCD;
5977;DPF2;CSS7|REQ|UBID4|ubi-d4;DPF2;"MR (AD);OMIM (AD)";;;DPF2;DPF2;
1801;DPH1;DEDSSH|DPH2L|DPH2L1|OVCA1;DPH1;"MR (AR);OMIM (AR);PCS (AR)";;;DPH1;DPH1;
8813;DPM1;CDGIE|MPDS;DPM1;"EPI (AR);LENGTE (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR);SPIER (AR)";;;DPM1;DPM1;
8818;DPM2;CDG1U;DPM2;"EPI (AR);METAB (AR);OMIM (AR);PCS (AR);SPIER (AR)";;;DPM2;DPM2;
54344;DPM3;CDG1O|MDDGB15|MDDGC15;DPM3;"HART (AR);METAB (AR);OMIM (AR);PCS (AR);SPIER (AR)";;;DPM3;DPM3;
1804;DPP6;DPL1|DPPX|MRD33|VF2;DPP6;"HART (AD);MR (AD);OMIM (AD;UK,AR,AD,XL)";;;DPP6;DPP6;
283417;DPY19L2;SPATA34|SPGF9;DPY19L2;"OMIM (AR);PCS (AR)";;;DPY19L2;DPY19L2;
1806;DPYD;DHP|DHPDHASE|DPD;DPYD;"EPI (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)";;;DPYD;DPYD;
1807;DPYS;DHP|DHPase;DPYS;"BEWEGING (AR);EPI (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)";;;DPYS;DPYS;
128338;DRAM2;CORD21|PRO180|TMEM77|WWFQ154;DRAM2;"BLIND (AR);OMIM (AR);PCS (AR)";;;DRAM2;DRAM2;
92749;DRC1;C2orf39|CCDC164|CILD21;DRC1;"CILIO (AR);OMIM (AR);PCS (AR)";;;DRC1;DRC1;
1815;DRD4;D4DR;DRD4;OMIM (UK,AR,AD,XL);;;DRD4;DRD4;
1821;DRP2;DRP-2;DRP2;"HMSN (XL);OMIM (XL)";;;DRP2;DRP2;
1824;DSC2;ARVD11|CDHF2|DG2|DGII/III|DSC3;DSC2;"DERM (AR);HART (AD,AR);OMIM (AD,AR);PCS (AR)";;;DSC2;DSC2;
1825;DSC3;CDHF3|DSC|DSC1|DSC2|DSC4|HT-CP;DSC3;"DERM (AR);OMIM (AR);PCS (AR)";;;DSC3;DSC3;
29940;DSE;DS-epi1|DSEP|DSEPI|EDSMC2|SART-2|SART2;DSE;"DERM (AR);LENGTE (AR);OMIM (AR);PCS (AR)";;;DSE;DSE;
1828;DSG1;CDHF4|DG1|DSG|EPKHE|EPKHIA|PPKS1|SPPK1;DSG1;"DERM (AD);OMIM (AD,AR)";;;DSG1;DSG1;
1829;DSG2;CDHF5|HDGC;DSG2;"HART (AD);OMIM (AD)";;;DSG2;DSG2;
1830;DSG3;ABOLM|CDHF6|PVA;DSG3;"DERM (AR);OMIM (AR)";;;DSG3;DSG3;
147409;DSG4;CDGF13|CDHF13|HYPT6|LAH;DSG4;"DERM (AR);OMIM (AR);PCS (AR)";;;DSG4;DSG4;
1832;DSP;DCWHKTA|DP;DSP;"DERM (AD,AR);HART (AD,AR);OMIM (AD,AR);PCS (AR)";;;DSP;DSP;
1834;DSPP;DFNA39|DGI1|DMP3|DPP|DSP;DSPP;"CFA (AD);DERM (AD);DOOF (AD);OMIM (AD)";;;DSPP;DSPP;
667;DST;BP240|BPA|BPAG1|CATX-15|CATX15|D6S1101|DMH|DT|EBSB2|HSAN6|MACF2;DST;"DERM (AR);HMSN (AR);OMIM (AR);PCS (AR)";;;DST;DST;
25778;DSTYK;CAKUT1|DustyPK|HDCMD38P|RIP5|RIPK5|SPG23;DSTYK;"NIER (AD);OMIM (AR;AD;AD,AR);PCS (AR)";;;DSTYK;DSTYK;
1837;DTNA;D18S892E|DRP3|DTN|DTN-A|LVNC1;DTNA;"HART (AD);OMIM (AD)";;;DTNA;DTNA;
84062;DTNBP1;BLOC1S8|DBND|HPS7|My031|SDY;DTNBP1;"BLIND (AR);DERM (AR);HEMOS (AR);OMIM (AR);PCS (AR)";;;DTNBP1;DTNBP1;
1841;DTYMK;CDC8|PP3731|TMPK|TYMK;DTYMK;"METAB (AR);OMIM (AR)";;;DTYMK;DTYMK;
50506;DUOX2;LNOX2|NOXEF2|P138-TOX|TDH6|THOX2;DUOX2;"OMIM (AR);PCS (AR)";;;DUOX2;DUOX2;
405753;DUOXA2;SIMNIPHOM|TDH5;DUOXA2;"OMIM (AR);PCS (AR)";;;DUOXA2;DUOXA2;
1848;DUSP6;HH19|MKP3|PYST1;DUSP6;"DERM (AD);DSD (AD);HH (AD);OMIM (AD)";;;DUSP6;DUSP6;
1855;DVL1;DRS2|DVL|DVL1L1|DVL1P1;DVL1;"LENGTE (AD);OMIM (AD);SCHISIS (AD)";;;DVL1;DVL1;
1857;DVL3;DRS3;DVL3;"LENGTE (AD);OMIM (AD);SCHISIS (AD)";;;DVL3;DVL3;
54808;DYM;DMC|SMC;DYM;"LENGTE (AR);MR (AR);OMIM (AR);PCS (AR)";;;DYM;DYM;
1778;DYNC1H1;CMT2O|DHC1|DHC1a|DNCH1|DNCL|DNECL|DYHC|Dnchc1|HL-3|SMALED1|p22;DYNC1H1;"EPI (AD);HMSN (AD);HNPD (AD);MR (AD);OMIM (AD);SPIER (AD)";;;DYNC1H1;DYNC1H1;
1781;DYNC1I2;DIC74|DNCI2|IC2|NEDMIBA;DYNC1I2;"MR (AR);OMIM (AR);PCS (AR)";;;DYNC1I2;DYNC1I2;
79659;DYNC2H1;ATD3|DHC1b|DHC2|DNCH2|DYH1B|SRPS2B|SRTD3|hdhc11;DYNC2H1;"ANEURYSM (AR);CILIO (AR);DSD (AR);LENGTE (AR);NIER (AR);OMIM (AR;UK,AR,AD,XL);PCS (AR);SCHISIS (AR)";;;DYNC2H1;DYNC2H1;
55112;DYNC2I1;CFAP163|DIC6|FAP163|SRPS6|SRTD8|WDR60;WDR60;"CILIO (AR);DSD (AR);LENGTE (AR);NIER (AR);OMIM (AR);PCS (AR)";;;DYNC2I1;WDR60;NUUP!
89891;DYNC2I2;CFAP133|DIC5|FAP133|SRTD11|WDR34|bA216B9.3;WDR34;"BLIND (AR);CILIO (AR);LENGTE (AR);OMIM (AR);PCS (AR)";;;DYNC2I2;WDR34;NUUP!
51626;DYNC2LI1;CGI-60|D2LIC|LIC3;DYNC2LI1;"CILIO (AR);LENGTE (AR);OMIM (AR);PCS (AR);SCHISIS (AR)";;;DYNC2LI1;DYNC2LI1;
255758;DYNLT2B;SRTD17|TCTEX1D2;TCTEX1D2;"CILIO (AR);LENGTE (AR);OMIM (AR);PCS (AR)";;;DYNLT2B;TCTEX1D2;NUUP!
1859;DYRK1A;DYRK|DYRK1|HP86|MNB|MNBH|MRD7;DYRK1A;"EPI (AD);MR (AD);OMIM (AD)";;;DYRK1A;DYRK1A;
9149;DYRK1B;AOMS3|MIRK;DYRK1B;OMIM (AD);;;DYRK1B;DYRK1B;
8291;DYSF;FER1L1|LGMD2B|LGMDR2|MMD1;DYSF;"OMIM (AR);PCS (AR);SPIER (AR)";;;DYSF;DYSF;
22873;DZIP1;DZIP|DZIPt1|MVP3|SPGF47;DZIP1;"HART (AD);OMIM (AD)";;;DZIP1;DZIP1;
199221;DZIP1L;DZIP2|PKD5;DZIP1L;"NIER (AR);OMIM (AR);PCS (AR)";;;DZIP1L;DZIP1L;
124454;EARS2;COXPD12|MSE1|gluRS|mtGlnRS;EARS2;"OMIM (AR);OXPHOS (AR);PCS (AR)";;;EARS2;EARS2;
253738;EBF3;COE3|EBF-3|HADDS|O/E-2|OE-2;EBF3;"MR (AD);OMIM (AD)";;;EBF3;EBF3;
10682;EBP;CDPX2|CHO2|CPX|CPXD|MEND;EBP;"DERM (XL);EPI (XL);LENGTE (XL);METAB (XL);MR (XL);OMIM (XL);SCHISIS (XL)";;;EBP;EBP;
1889;ECE1;ECE;ECE1;"ANEURYSM (AD);OMIM (AD)";;;ECE1;ECE1;
9427;ECEL1;DA5D|DINE|ECEX|XCE;ECEL1;"AKI (AR);LENGTE (AR);OMIM (AR);PCS (AR);SPIER (AR)";;;ECEL1;ECEL1;
1892;ECHS1;ECHS1D|SCEH;ECHS1;"BEWEGING (AR);METAB (AR);MR (AR);OMIM (AR);OXPHOS (AR);PCS (AR)";;;ECHS1;ECHS1;
1893;ECM1;URBWD;ECM1;"DERM (AR);OMIM (AR);PCS (AR)";;;ECM1;ECM1;
51295;ECSIT;SITPEC;ECSIT;"OMIM (AR);OXPHOS (AR)";;;ECSIT;ECSIT;
1896;EDA;ECTD1|ED1|ED1-A1|ED1-A2|EDA-A1|EDA-A2|EDA1|EDA2|HED|HED1|ODT1|STHAGX1|TNLG7C|XHED|XLHED;EDA;"CFA (XL);DERM (XL);OMIM (XL)";;;EDA;EDA;
10913;EDAR;DL|ECTD10A|ECTD10B|ED1R|ED3|ED5|EDA-A1R|EDA1R|EDA3|HRM1;EDAR;"CFA (AD,AR);DERM (AD,AR);OMIM (AR;AD,AR);PCS (AR)";;;EDAR;EDAR;
128178;EDARADD;ECTD11A|ECTD11B|ED3|EDA3;EDARADD;"CFA (AD,AR);DERM (AD,AR);OMIM (AD,AR);PCS (AR)";;;EDARADD;EDARADD;
80153;EDC3;LSM16|MRT50|YJDC|YJEFN2|hYjeF_N2-15q23;EDC3;"MR (AD,AR);OMIM (AR;AD,AR);PCS (AR)";;;EDC3;EDC3;
1906;EDN1;ARCND3|ET1|HDLCQ7|PPET1|QME;EDN1;"CFA (AR);LENGTE (AR);OMIM (AR;AD,AR);PCS (AR);SCHISIS (AR)";;;EDN1;EDN1;
1908;EDN3;ET-3|ET3|HSCR4|PPET3|WS4B;EDN3;"DERM (AD,AR);DOOF (AD,AR);OMIM (AR;AD,AR);PCS (AR)";;;EDN3;EDN3;
1909;EDNRA;ET-A|ETA|ETA-R|ETAR|ETRA|MFDA|hET-AR;EDNRA;"ANEURYSM (AD);CFA (AD);DERM (AD);LENGTE (AD);OMIM (AD);SCHISIS (AD)";;;EDNRA;EDNRA;
1910;EDNRB;ABCDS|ET-B|ET-BR|ETB|ETB1|ETBR|ETRB|HSCR|HSCR2|WS4A;EDNRB;"DERM (AD,AR);DOOF (AD,AR);LEVER (AR);OMIM (AD,AR);PCS (AR)";;;EDNRB;EDNRB;
8726;EED;COGIS|HEED|WAIT1;EED;"MR (AD);OMIM (AD)";;;EED;EED;
1917;EEF1A2;DEE33|EEF1AL|EF-1-alpha-2|EF1A|EIEE33|HS1|MRD38|STN|STNL;EEF1A2;"EPI (AD);HART (AR);MR (AD);OMIM (AD;AR)";;;EEF1A2;EEF1A2;
51603;EEF1AKNMT;5630401D24Rik|CGI-01|DFNB26|DFNB26M|DFNM1|KIAA0859|METTL13|feat;EEF1AKNMT;OMIM (AD);;;EEF1AKNMT;EEF1AKNMT;
1938;EEF2;EEF-2|EF-2|EF2|SCA26;EEF2;OMIM (AD);;;EEF2;EEF2;
2202;EFEMP1;DHRD|DRAD|FBLN3|FBNL|FIBL-3|MLVT|MTLV|S1-5;EFEMP1;"BLIND (AD);OMIM (AD)";;;EFEMP1;EFEMP1;
30008;EFEMP2;ARCL1B|FBLN4|MBP1|UPH1;EFEMP2;"ANEURYSM (AR);DERM (AR);HART (AR);OMIM (AR);PCS (AR)";;;EFEMP2;EFEMP2;
114327;EFHC1;EJM1|POC9|RIB72|dJ304B14.2;EFHC1;"EPI (AD);OMIM (AD)";;;EFHC1;EFHC1;
79631;EFL1;EFTUD1|FAM42A|HsT19294|RIA1|SDS2;EFL1;"BMF (AR);LENGTE (AR);OMIM (AR);PCS (AR)";;;EFL1;EFL1;
1945;EFNA4;EFL4|EPLG4|LERK4;EFNA4;"CFA (AD);OMIM (AD)";;;EFNA4;EFNA4;
1947;EFNB1;CFND|CFNS|EFB1|EFL3|EPLG2|Elk-L|LERK2;EFNB1;"CFA (XL);DERM (XL);LENGTE (XL);OMIM (XL);SCHISIS (XL)";;;EFNB1;EFNB1;
1948;EFNB2;EPLG5|HTKL|Htk-L|LERK5;EFNB2;"DOOF (AR);MR (AD);OMIM (AD;AR)";;;EFNB2;EFNB2;
9343;EFTUD2;MFDGA|MFDM|SNRNP116|Snrp116|Snu114|U5-116KD;EFTUD2;"CFA (AD);LENGTE (AD);MR (AD);OMIM (AD);SCHISIS (AD)";;;EFTUD2;EFTUD2;
1950;EGF;HOMG4|URG;EGF;"EPI (AR);NIER (AR);OMIM (AR;UK,AR,AD,XL);PCS (AR)";;;EGF;EGF;
1956;EGFR;ERBB|ERBB1|ERRP|HER1|NISBD2|PIG61|mENA;EGFR;"OMIM (AR;UK,AR,AD,XL;AD,AR);PCS (AR);TUMOR (AD,AR)";;;EGFR;EGFR;
54583;EGLN1;C1orf12|ECYT3|HALAH|HIF-PH2|HIFPH2|HPH-2|HPH2|PHD2|SM20|ZMYND6;EGLN1;"OMIM (AD);TUMOR (AD)";;;EGLN1;EGLN1;
112398;EGLN2;EIT-6|EIT6|HIF-PH1|HIFPH1|HPH-1|HPH-3|PHD1;EGLN2;"OMIM (AD);TUMOR (AD)";;;EGLN2;EGLN2;
1959;EGR2;AT591|CHN1|CMT1D|CMT4E|KROX20;EGR2;"AKI (AD,AR);HMSN (AD,AR);OMIM (AR;AD,AR);PCS (AR)";;;EGR2;EGR2;
1962;EHHADH;ECHD|FRTS3|L-PBE|LBFP|LBP|MFE1|PBFE;EHHADH;"NIER (AD);OMIM (AD);OXPHOS (AD)";;;EHHADH;EHHADH;
79813;EHMT1;EHMT1-IT1|EUHMTASE1|Eu-HMTase1|FP13812|GLP|GLP1|KLEFS1|KMT1D;EHMT1;"CHD (AD);EPI (AD);HART (AD);MR (AD);OMIM (AD)";;;EHMT1;EHMT1;
27102;EIF2AK1;HCR|HRI|LEMSPAD|hHRI;EIF2AK1;"MR (AD);OMIM (AD)";;;EIF2AK1;EIF2AK1;
5610;EIF2AK2;EIF2AK1|LEUDEN|PKR|PPP1R83|PRKR;EIF2AK2;"MR (AD);OMIM (AD)";;;EIF2AK2;EIF2AK2;
9451;EIF2AK3;PEK|PERK|WRS;EIF2AK3;"DERM (AR);LENGTE (AR);MR (AR);OMIM (AR);PCS (AR)";;;EIF2AK3;EIF2AK3;
440275;EIF2AK4;GCN2|PVOD2;EIF2AK4;"OMIM (AR);PCS (AR)";;;EIF2AK4;EIF2AK4;
1967;EIF2B1;EIF2B|EIF2BA;EIF2B1;"BEWEGING (AR);EPI (AR);OMIM (AR);PCS (AR)";;;EIF2B1;EIF2B1;
8892;EIF2B2;EIF-2Bbeta|EIF2B;EIF2B2;"BEWEGING (AR);EPI (AR);OMIM (AR);PCS (AR)";;;EIF2B2;EIF2B2;
8891;EIF2B3;EIF-2B|EIF2Bgamma;EIF2B3;"BEWEGING (AR);EPI (AR);OMIM (AR);PCS (AR)";;;EIF2B3;EIF2B3;
8890;EIF2B4;EIF-2B|EIF2B|EIF2Bdelta;EIF2B4;"BEWEGING (AR);EPI (AR);MR (AR);OMIM (AR);PCS (AR)";;;EIF2B4;EIF2B4;
8893;EIF2B5;CACH|CLE|EIF-2B|EIF2Bepsilon|LVWM;EIF2B5;"BEWEGING (AR);DSD (AR);EPI (AR);MR (AR);OMIM (AR);PCS (AR)";;;EIF2B5;EIF2B5;
1968;EIF2S3;EIF2|EIF2G|EIF2gamma|MEHMO|MRXSBRK|eIF-2gA;EIF2S3;"MR (XL);OMIM (XL;XLR);SCHISIS (XLR)";;;EIF2S3;EIF2S3;
8665;EIF3F;EIF3S5|MRT67|eIF3-p47;EIF3F;"MR (AR);OMIM (AR);PCS (AR)";;;EIF3F;EIF3F;
9775;EIF4A3;DDX48|Fal1|MUK34|NMP265|NUK34|RCPS|eIF-4A-III|eIF4A-III|eIF4AIII;EIF4A3;"CFA (AR);LENGTE (AR);MR (AR);OMIM (AR);PCS (AR);SCHISIS (AR)";;;EIF4A3;EIF4A3;
60528;ELAC2;COXPD17|ELC2|HPC2;ELAC2;"MR (AR);OMIM (AR);OXPHOS (AR);PCS (AR)";;;ELAC2;ELAC2;
1991;ELANE;ELA2|GE|HLE|HNE|NE|PMN-E|SCN1;ELANE;"BMF (AD);IMMUUN (AD);OMIM (AD);TUMOR (AD)";;;ELANE;ELANE;
2000;ELF4;ELFR|MEF;ELF4;"IMMUUN (XL);OMIM (XL)";;;ELF4;ELF4;
63916;ELMO2;CED-12|CED12|Ced-12A|ELMO-2|VMPI;ELMO2;"OMIM (AR);PCS (AR)";;;ELMO2;ELMO2;
84173;ELMOD3;DFNB88|LST3|RBED1|RBM29;ELMOD3;"DOOF (AR);OMIM (AR);PCS (AR)";;;ELMOD3;ELMOD3;
2006;ELN;ADCL1|SVAS|WBS|WS;ELN;"ANEURYSM (AD);CHD (AD);DERM (AD);HART (AD);OMIM (AD)";;;ELN;ELN;
64834;ELOVL1;CGI-88|IKSHD|Ssc1;ELOVL1;"BLIND (AD);DERM (AD);METAB (AD);OMIM (AD)";;;ELOVL1;ELOVL1;
6785;ELOVL4;ADMD|CT118|ISQMR|SCA34|STGD2|STGD3;ELOVL4;"BEWEGING (AD);BLIND (AD);DERM (AD,AR);METAB (AD);MR (AR);OMIM (AD,AR);PCS (AR)";;;ELOVL4;ELOVL4;
60481;ELOVL5;HELO1|SCA38|dJ483K16.1;ELOVL5;"BEWEGING (AD);HMSN (AD);OMIM (AD)";;;ELOVL5;ELOVL5;
8518;ELP1;DYS|FD|IKAP|IKBKAP|IKI3|TOT1;ELP1;"HMSN (AR);HNPD (AR);OMIM (AR;AD);PCS (AR);SHHM (AD);TUMOR (AD)";;;ELP1;ELP1;
55250;ELP2;MRT58|SHINC-2|STATIP1|StIP;ELP2;"MR (AR);OMIM (AR);PCS (AR)";;;ELP2;ELP2;
26610;ELP4;AN|AN2|C11orf19|PAX6NEB|PAXNEB|dJ68P15A.1|hELP4;ELP4;OMIM (AD);;;ELP4;ELP4;
23065;EMC1;CAVIPMR|KIAA0090;EMC1;"BLIND (AR);MR (AR);OMIM (AR);PCS (AR)";;;EMC1;EMC1;
2010;EMD;EDMD|LEMD5|STA;EMD;"HART (XLR);OMIM (XLR);SPIER (XL)";;;EMD;EMD;
10436;EMG1;C2F|Grcc2f|NEP1;EMG1;"OMIM (AR);PCS (AR)";;;EMG1;EMG1;
11117;EMILIN1;EMI|EMILIN|gp115;EMILIN1;"ANEURYSM (AD);HART (AD);HMSN (AD);OMIM (AD)";;;EMILIN1;EMILIN1;
2009;EML1;BH|ELP79|EMAP|EMAP-1|EMAPL;EML1;"MR (AR);OMIM (AR);PCS (AR)";;;EML1;EML1;
2013;EMP2;XMP;EMP2;"NIER (AR);OMIM (AR);PCS (AR)";;;EMP2;EMP2;
2018;EMX2;;EMX2;"MR (AD);OMIM (UK,AR,AD,XL)";;;EMX2;EMX2;
10117;ENAM;ADAI|AI1C|AIH2;ENAM;"CFA (AD,AR);DERM (AR);OMIM (AD,AR);PCS (AR)";;;ENAM;ENAM;
2022;ENG;END|HHT1|ORW1;ENG;"ANEURYSM (AD);DERM (AD);HEMOS (AD);OMIM (AD)";;;ENG;ENG;
2027;ENO3;GSD13|MSE;ENO3;"METAB (AR);OMIM (AR;AD);PCS (AR);SPIER (AD)";;;ENO3;ENO3;
5167;ENPP1;ARHR2|COLED|M6S1|NPP1|NPPS|PC-1|PCA1|PDNP1;ENPP1;"DERM (AR);HART (AR);LENGTE (AD,AR);NIER (AR);OMIM (AR;AD,AR);PCS (AR)";;;ENPP1;ENPP1;
953;ENTPD1;ATPDase|CD39|NTPDase-1|SPG64;ENTPD1;"MR (AR);OMIM (AR);PCS (AR)";;;ENTPD1;ENTPD1;
285203;EOGT;AER61|AOS4|C3orf64|EOGT1;EOGT;"LENGTE (AR);METAB (AR);OMIM (AR);PCS (AR);SCHISIS (AR)";;;EOGT;EOGT;
2033;EP300;KAT3B|MKHK2|RSTS2|p300;EP300;"ANEURYSM (AD);LENGTE (AD);MR (AD);OMIM (AD)";;;EP300;EP300;
2034;EPAS1;ECYT4|HIF2A|HLF|MOP2|PASD2|bHLHe73;EPAS1;OMIM (UK,AR,AD,XL);;;EPAS1;EPAS1;
2035;EPB41;4.1R|EL1|HE;EPB41;"OMIM (AR;AD,AR);PCS (AR)";;;EPB41;EPB41;
2036;EPB41L1;4.1N|MRD11;EPB41L1;OMIM (AD);;;EPB41L1;EPB41L1;
2038;EPB42;PA|SPH5;EPB42;"OMIM (AR;UK,AR,AD,XL);PCS (AR)";;;EPB42;EPB42;
4072;EPCAM;DIAR5|EGP-2|EGP314|EGP40|ESA|HNPCC8|KS1/4|KSA|M4S1|MIC18|MK-1|TACSTD1|TROP1;EPCAM;"OMIM (AR;AD);PCS (AR);TUMOR (AD)";;;EPCAM;EPCAM;
57724;EPG5;HEEW1|KIAA1632|VICIS;EPG5;"BLIND (AR);DERM (AR);IMMUUN (AR);MR (AR);OMIM (AR);PCS (AR);SCHISIS (AR)";;;EPG5;EPG5;
1969;EPHA2;ARCC2|CTPA|CTPP1|CTRCT6|ECK;EPHA2;"BLIND (AD);OMIM (AD)";;;EPHA2;EPHA2;
2048;EPHB2;BDPLT22|CAPB|DRT|EK5|EPHT3|ERK|Hek5|PCBC|Tyro5;EPHB2;"HEMOS (AR);OMIM (AR)";;;EPHB2;EPHB2;
2050;EPHB4;CMAVM2|HFASD|HTK|LMPHM7|MYK1|TYRO11;EPHB4;OMIM (AD);;;EPHB4;EPHB4;
2052;EPHX1;EPHX|EPOX|HYL1|MEH;EPHX1;"LEVER (AR);METAB (AR);OMIM (AR);PCS (AR)";;;EPHX1;EPHX1;
2053;EPHX2;ABHD20|CEH|SEH;EPHX2;"METAB (AR);OMIM (AR)";;;EPHX2;EPHX2;
7957;EPM2A;EPM2|MELF;EPM2A;"EPI (AR);OMIM (AR);PCS (AR)";;;EPM2A;EPM2A;
2056;EPO;DBAL|ECYT5|EP|MVCD2;EPO;"BMF (AD,AR);OMIM (AD,AR);PCS (AR)";;;EPO;EPO;
2058;EPRS1;EARS|EPRS|GLUPRORS|HLD15|PARS|PIG32|QARS|QPRS;EPRS1;"OMIM (AR);PCS (AR)";;;EPRS1;EPRS1;
2059;EPS8;DFNB102;EPS8;"DOOF (AR);OMIM (AR);PCS (AR)";;;EPS8;EPS8;
64787;EPS8L2;DFNB106|EPS8R2;EPS8L2;"DOOF (AR);OMIM (AR);PCS (AR)";;;EPS8L2;EPS8L2;
79574;EPS8L3;EPS8R3|HYPT5;EPS8L3;"DERM (AD);OMIM (AD)";;;EPS8L3;EPS8L3;
26284;ERAL1;CEGA|ERA|ERA-W|ERAL1A|ERAL1B|H-ERA|HERA-A|HERA-B|PRLTS6;ERAL1;"DOOF (AR);OMIM (AR);OXPHOS (AR);PCS (AR)";;;ERAL1;ERAL1;
2064;ERBB2;CD340|HER-2|HER-2/neu|HER2|MLN 19|NEU|NGL|TKR1;ERBB2;OMIM (UK,AR,AD,XL);;;ERBB2;ERBB2;
2065;ERBB3;ErbB-3|FERLK|HER3|LCCS2|MDA-BF-1|c-erbB-3|c-erbB3|erbB3-S|p180-ErbB3|p45-sErbB3|p85-sErbB3;ERBB3;"AKI (AR);OMIM (AR);PCS (AR);SPIER (AR)";;;ERBB3;ERBB3;
2066;ERBB4;ALS19|HER4|p180erbB4;ERBB4;"ALS (AD);OMIM (AD)";;;ERBB4;ERBB4;
